Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_Handle_ID,Metadata_Identifier_CMS_ID,Metadata_Identifier_Accession_ID,Metadata_Identifier_File_ID,URL
oai:rosetta.slv.vic.gov.au:IE18655279,2021-04-18T10:23:18Z,IE18655279,10381/242934,485166,,FL19954315,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954315
oai:rosetta.slv.vic.gov.au:IE18654836,2021-04-18T10:22:00Z,IE18654836,10381/265619,485163,,FL19954446,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954446
oai:rosetta.slv.vic.gov.au:IE18473326,2021-04-18T10:05:16Z,IE18473326,10381/258124,485193,,FL19954413,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954413
oai:rosetta.slv.vic.gov.au:IE18653458,2021-04-18T10:18:08Z,IE18653458,10381/303511,2398391,,FL19954326,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954326
oai:rosetta.slv.vic.gov.au:IE18653660,2021-04-18T10:19:26Z,IE18653660,10381/303514,2398427,,FL19954397,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954397
oai:rosetta.slv.vic.gov.au:IE18656366,2021-04-18T10:25:53Z,IE18656366,10381/265617,485124,,FL19954473,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954473
oai:rosetta.slv.vic.gov.au:IE18657855,2021-04-18T10:29:46Z,IE18657855,10381/283002,485169,,FL19954336,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954336
oai:rosetta.slv.vic.gov.au:IE18472336,2021-04-18T09:58:48Z,IE18472336,10381/242930,485148,,FL19954399,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954399
oai:rosetta.slv.vic.gov.au:IE18473079,2021-04-18T10:01:24Z,IE18473079,10381/242931,485171,,FL20110812,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20110812
oai:rosetta.slv.vic.gov.au:IE18473202,2021-04-18T10:02:41Z,IE18473202,10381/242932,485146,,FL19954361,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954361
oai:rosetta.slv.vic.gov.au:IE18474183,2021-04-18T10:09:07Z,IE18474183,10381/283000,485181,,FL19954351,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954351
oai:rosetta.slv.vic.gov.au:IE18477354,2021-04-18T10:12:58Z,IE18477354,10381/303510,2398407,,FL19954464,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954464
oai:rosetta.slv.vic.gov.au:IE18471733,2021-04-18T09:56:14Z,IE18471733,10381/260505,485153,,FL19954494,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954494
oai:rosetta.slv.vic.gov.au:IE18471736,2021-04-18T09:57:31Z,IE18471736,10381/260506,485196,,FL20110830,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20110830
oai:rosetta.slv.vic.gov.au:IE18472577,2021-04-18T10:00:05Z,IE18472577,10381/257984,485154,,FL19954389,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954389
oai:rosetta.slv.vic.gov.au:IE16668520,2021-04-17T14:25:23Z,IE16668520,10381/242928,485186,,FL19954295,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954295
